pair,J_mean,J_lo,J_hi,excludes_zero
Ciprofloxacin ~ Levofloxacin,6.711156101535763,6.577304121705834,6.840725131091261,True
Imipenem ~ Meropenem,6.168980290397441,5.846835138128219,6.506903972788242,True
Ampicillin sulbactam ~ Ampicillin,5.37670397019139,5.076748902716545,5.70116958468052,True
Ampicillin ~ Meropenem,-4.69647517785029,-6.040162295508055,-3.3548083838410068,True
Ceftaroline ~ Cefepime,4.667509802916823,4.36527506759796,4.996865718644274,True
Ceftaroline ~ Aztreonam,4.666361470336351,4.350127796933836,5.005730296498671,True
Cefepime ~ Meropenem,3.625883279258401,2.9638068610313075,4.300906674059842,True
Ceftaroline ~ Ampicillin,3.5728488093624176,3.259151309356089,3.9077377562259987,True
Ampicillin sulbactam ~ Piperacillin tazobactam,3.414733998605926,3.1883646896959013,3.6549071361478926,True
Aztreonam ~ Ceftazidime,3.291612866085977,3.1597509785849707,3.4243750287111276,True
Piperacillin tazobactam ~ Meropenem,3.2624614367281883,2.741020337652499,3.826437704051991,True
Ceftaroline ~ Ceftazidime,2.642002486381011,2.389085336344845,2.9020684721849017,True
Aztreonam ~ Cefepime,2.5668496801989074,2.4504277321671286,2.68758435779236,True
Ceftaroline ~ Meropenem,-2.419526557067446,-3.457139618398755,-1.3122584286864132,True
Trimethoprim sulfa ~ Ampicillin,2.294322280796724,2.2259985162223495,2.362906492694661,True
Ceftazidime ~ Meropenem,2.2532975632102925,1.7357288472211398,2.80130056655388,True
Ceftaroline ~ Piperacillin tazobactam,2.043532136596497,1.917433068522145,2.1751773032972928,True
Ampicillin sulbactam ~ Amoxycillin clavulanate,2.0364562232676113,1.9533334028982368,2.119352112968266,True
Amoxycillin clavulanate ~ Meropenem,2.009864542233422,1.479012228774403,2.5659234118479404,True
Ampicillin ~ Amoxycillin clavulanate,1.7604795530153838,1.571260112471148,1.951486485874439,True
Amoxycillin clavulanate ~ Imipenem,1.7241130413325085,1.4239216905431695,2.0334711327676644,True
Amoxycillin clavulanate ~ Piperacillin tazobactam,1.7080128935770633,1.6288854371654131,1.7883061333382648,True
Cefepime ~ Amoxycillin clavulanate,-1.5806166452716577,-1.7068470216847125,-1.4588193412296522,True
Ampicillin ~ Gentamicin,1.5655579677646108,1.4294903931374159,1.7028703228541715,True
Ceftazidime ~ Amoxycillin clavulanate,1.4700962050362425,1.3433953149923954,1.6005638647522673,True
Ceftaroline ~ Imipenem,1.4418400053535434,1.0285627307600935,1.8619184002426403,True
Ampicillin ~ Ceftazidime,1.4189718337929902,0.8613103636450429,2.0207774403700287,True
Cefepime ~ Ceftazidime,1.3184931126058208,1.1999332963774874,1.4390340193640114,True
Aztreonam ~ Meropenem,-1.2073139441874572,-1.6427994967685928,-0.7606322560295757,True
Trimethoprim sulfa ~ Meropenem,1.0704569506978117,0.798135275441154,1.3344817997885092,True
Ampicillin ~ Cefepime,1.0208009343148479,0.5395584095030697,1.528957392139786,True
Piperacillin tazobactam ~ Imipenem,0.9749906864465224,0.7097919322505348,1.2421364273209219,True
Ceftaroline ~ Amoxycillin clavulanate,0.9543818582903578,0.8544660652143621,1.0527979664220357,True
Ampicillin ~ Imipenem,-0.944471019072795,-1.4526591074711759,-0.44804667905588286,True
Ampicillin ~ Aztreonam,0.8302974749256651,0.3275424908654175,1.315666130665821,True
Ampicillin sulbactam ~ Meropenem,0.8179010150540355,-0.07935395671794973,1.831842955324293,False
Amikacin ~ Piperacillin tazobactam,0.8163250202267031,0.7312661241383731,0.9048568313034872,True
Levofloxacin ~ Meropenem,0.8048625972529206,0.24311205206883527,1.358498459480044,True
